                  objname |   logd25 |  al2000*15. |     de2000 |     t |  type |     vvir |
  UGC06903                |     1.33 |  178.903896 |    1.23723 |   5.9 | Sc    |     1910 |
  NGC3982                 |     1.33 |  179.117283 |   55.12493 |   3.2 | SABb  |     1354 |
  NGC3998                 |     1.44 |     179.484 |   55.45356 |  -2.1 | S0    |     1287 |
  ESO321-001              |     1.31 |  179.579031 |  -39.55054 |   5.9 | Sc    |     3546 |
  UGC06956                |     1.31 |   179.60664 |   50.91703 |   8.8 | SBm   |     1147 |
  IC0749                  |     1.33 |  179.641839 |   42.73403 |   5.9 | Sc    |     1018 |
  NGC4037                 |     1.38 |  180.348828 |   13.40083 |   2.9 | Sb    |     1013 |
  NGC4041                 |     1.41 | 180.5508345 |   62.13727 |   4.0 | Sbc   |     1473 |
  NGC4045                 |     1.41 |  180.676164 |    1.97670 |   1.3 | SABa  |     1997 |
  NGC4073                 |     1.32 | 181.1128155 |    1.89593 |  -4.1 | E     |     5941 |
  NGC4087                 |     1.30 |  181.397169 |  -26.52262 |  -2.9 | E-SO  |     3219 |
  NGC4102                 |     1.47 |  181.597764 |   52.71097 |   3.1 | SABb  |     1085 |
  IC3010                  |     1.32 | 181.9888575 |  -30.33934 |  -1.1 | S0-a  |     1874 |
  NGC4136                 |     1.37 |  182.323779 |   29.92767 |   5.2 | Sc    |      768 |
  NGC4151                 |     1.46 | 182.6360025 |   39.40579 |   2.0 | SABa  |     1185 |
  NGC4162                 |     1.36 |  182.968656 |   24.12374 |   4.0 | Sbc   |     2706 |
  NGC4168                 |     1.47 |  183.071991 |   13.20515 |  -4.8 | E     |     2361 |
  IC0769                  |     1.34 | 183.1347015 |   12.12353 |   4.0 | Sbc   |     2291 |
  NGC4189                 |     1.34 |     183.447 |   13.42476 |   6.0 | Sc    |     2197 |
  ESO380-001              |     1.33 | 183.6880425 |  -35.50974 |   3.0 | Sb    |     2545 |
  NGC4212                 |     1.45 | 183.9139635 |   13.90135 |   4.9 | Sc    |        6 |
  IC3102                  |     1.31 |  184.357404 |    6.68993 |  -0.9 | S0-a  |     2284 |
  NGC4245                 |     1.41 |   184.40316 |   29.60793 |   0.1 | S0-a  |     1033 |
  NGC4267                 |     1.41 |  184.938873 |   12.79842 |  -2.7 | E-SO  |     1071 |
  NGC4273                 |     1.34 | 184.9833945 |    5.34385 |   5.2 | Sc    |     2434 |
  NGC4278                 |     1.46 |  185.028309 |   29.28064 |  -4.8 | E     |      788 |
  NGC4290                 |     1.34 | 185.1980205 |   58.09245 |   2.5 | Sb    |     3286 |
  NGC4298                 |     1.40 | 185.3866875 |   14.60608 |   5.2 | Sc    |     1236 |
  NGC4304                 |     1.40 |  185.552994 |  -33.48443 |   4.0 | Sbc   |     2489 |
  NGC4339                 |     1.37 | 185.8955835 |    6.08169 |  -4.7 | E     |     1351 |
  NGC4340                 |     1.45 | 185.8970985 |   16.72246 |  -1.2 | S0-a  |     1057 |
  IC3290                  |     1.35 | 186.2874765 |  -39.77550 |  -0.1 | S0-a  |     3157 |
  NGC4378                 |     1.32 | 186.3253545 |    4.92514 |   1.0 | Sa    |     2610 |
  NGC4389                 |     1.40 |  186.394542 |   45.68510 |   4.1 | SBbc  |      936 |
  NGC4393                 |     1.47 | 186.4633755 |   27.56092 |   6.7 | Scd   |      903 |
  UGC07534                |     1.40 |  186.533175 |   58.32180 |   9.9 | I     |      979 |
  NGC4413                 |     1.32 |   186.63423 |   12.61059 |   2.0 | Sab   |      185 |
  NGC4421                 |     1.41 |  186.760671 |   15.46140 |  -0.3 | S0-a  |     1654 |
  UGC07557                |     1.44 | 186.7970835 |    7.26250 |   8.8 | SABm  |      997 |
  NGC4430                 |     1.31 | 186.8598885 |    6.26282 |   3.4 | Sb    |     1507 |
  NGC4444                 |     1.36 |  187.151625 |  -43.26175 |   4.3 | SABb  |     2742 |
