                  objname |   logd25 |  al2000*15. |     de2000 |     t |  type |     vvir |
  IC4682                  |     1.34 | 274.1069865 |  -71.58139 |   3.9 | SBbc  |     3327 |
  NGC6654                 |     1.46 | 276.0313335 |   73.18325 |  -0.6 | S0-a  |     2127 |
  IC4704                  |     1.43 | 276.9737085 |  -71.60981 |  -3.0 | E-SO  |     4755 |
  IC4742                  |     1.32 |  280.468887 |  -63.86229 |  -4.8 | E     |     4289 |
  NGC6703                 |     1.39 |  281.828382 |   45.55053 |  -2.8 | E-SO  |     2572 |
  ESO396-007              |     1.34 |  283.592514 |  -34.61137 |   4.8 | Sc    |     5754 |
  ESO183-030              |     1.37 | 284.2328115 |  -54.54567 |  -3.3 | E-SO  |     2539 |
  IC4798                  |     1.31 |  284.587095 |  -62.11844 |  -1.8 | S0    |     4297 |
  ESO396-016              |     1.40 |  285.646968 |  -36.37173 |   5.0 | SABc  |     5175 |
  NGC6730                 |     1.34 | 286.8904185 |  -68.91281 |  -4.9 | E     |     4023 |
  NGC6753                 |     1.47 |  287.847726 |  -57.04933 |   3.0 | Sb    |     2943 |
  NGC6758                 |     1.44 | 288.4678425 |  -56.30941 |  -4.2 | E     |     3290 |
  IC4837                  |     1.35 |  288.807777 |  -54.66578 |   6.0 | SBc   |     2489 |
  IC4839                  |     1.33 |  288.891849 |  -54.62664 |   3.6 | Sbc   |     2529 |
  NGC6769                 |     1.46 | 289.5946035 |  -60.50110 |   3.0 | SABb  |     3603 |
  NGC6770                 |     1.38 |  289.655328 |  -60.49654 |   3.2 | Sb    |     3632 |
  NGC6780                 |     1.30 | 290.7118575 |  -55.77582 |   4.9 | SABc  |     3300 |
  NGC6782                 |     1.39 | 290.9911305 |  -59.92245 |   0.9 | Sa    |     3714 |
  NGC6776                 |     1.30 | 291.3295695 |  -63.86029 |  -4.2 | E     |     5279 |
  ESO594-004              |     1.46 |  292.495875 |  -17.67900 |  10.0 | IB    |      -97 |
  IC4889                  |     1.48 |  296.313267 |  -54.34422 |  -4.7 | E     |     2364 |
  PGC063654               |     1.39 |  296.643765 |  -23.13770 |   9.9 | I     |       -  |
  NGC6848                 |     1.37 |  300.696984 |  -56.09024 |   0.6 | Sa    |     4192 |
  IC4933                  |     1.32 | 300.8708895 |  -54.97999 |   4.0 | SBbc  |     4715 |
  NGC6851                 |     1.34 |  300.893274 |  -48.28454 |  -4.5 | E     |     2880 |
  NGC6854                 |     1.36 | 301.4116395 |  -54.37554 |  -3.4 | E-SO  |     5518 |
  IC4991                  |     1.46 |  304.596927 |  -41.05012 |  -2.1 | S0    |     5474 |
  ESO462-015              |     1.33 |  305.807625 |  -27.71458 |  -4.9 | E     |     5777 |
  NGC6903                 |     1.35 | 305.9370045 |  -19.32540 |  -3.3 | E-SO  |     3253 |
  NGC6902                 |     1.43 |  306.117123 |  -43.65342 |   2.3 | SBab  |     2639 |
  IC5020                  |     1.37 |  307.660224 |  -33.48563 |   3.3 | Sb    |     2976 |
  ESO186-062              |     1.36 |  308.508645 |  -52.98119 |   6.9 | SBcd  |     2338 |
  NGC6935                 |     1.34 |  309.584205 |  -52.11057 |   1.1 | SABa  |     4399 |
  NGC6937                 |     1.41 |   309.69078 |  -52.14336 |   4.1 | Sbc   |     4473 |
  NGC6942                 |     1.35 |  310.157598 |  -54.30305 |  -0.3 | S0-a  |     3075 |
  ESO597-026              |     1.33 |  310.235583 |  -20.47025 |  -3.1 | E-SO  |     8288 |
  IC5007                  |     1.36 | 310.8928995 |  -29.70395 |   6.7 | Scd   |     2620 |
  NGC6920                 |     1.36 |  310.988904 |  -80.00081 |  -2.0 | S0    |     2365 |
  NGC6962                 |     1.43 | 311.8295025 |    0.32085 |   1.7 | SABa  |     4254 |
  NGC6958                 |     1.39 | 312.1775055 |  -37.99733 |  -3.7 | E     |     2585 |
  IC5063                  |     1.43 | 313.0097055 |  -57.06885 |  -1.2 | S0-a  |     3172 |
  ESO286-010              |     1.34 |  313.587879 |  -44.06270 |   1.0 | Sa    |     5206 |
  NGC6987                 |     1.31 | 314.5430925 |  -48.63036 |  -4.8 | E     |     5045 |
  ESO107-004              |     1.32 | 315.8732985 |  -67.18141 |  -4.2 | E     |     2896 |
  NGC7002                 |     1.32 | 315.9365835 |  -49.02975 |  -4.9 | E     |     7338 |
  ESO235-055              |     1.44 |  316.480083 |  -48.20714 |   4.2 | Sbc   |     4856 |
  NGC7025                 |     1.30 |  316.947234 |   16.33575 |   1.0 | Sa    |     5090 |
  NGC7014                 |     1.31 |   316.96731 |  -47.17902 |  -4.2 | E     |     4585 |
  IC5092                  |     1.44 | 319.0603335 |  -64.46469 |   5.5 | SBc   |     3008 |
  NGC7070                 |     1.40 | 322.6055835 |  -43.08708 |   6.0 | Sc    |     2230 |
  NGC7070A                |     1.34 |   322.94712 |  -42.84770 |  -0.2 | S0-a  |     2226 |
  NGC7096                 |     1.32 |   325.33029 |  -63.90874 |   1.1 | Sa    |     2690 |
  ESO236-035              |     1.32 |   325.68195 |  -47.99060 |   6.5 | SABc  |     1779 |
  NGC7125                 |     1.47 |  327.316416 |  -60.71317 |   5.0 | SABc  |     2846 |
  NGC7135                 |     1.42 | 327.4417125 |  -34.87633 |  -2.9 | E-SO  |     2580 |
  ESO027-001              |     1.43 | 328.1101245 |  -81.53075 |   5.0 | SBc   |     2292 |
  NGC7154                 |     1.35 | 328.8376245 |  -34.81408 |   9.5 | I     |     2475 |
  NGC7155                 |     1.33 | 329.0404455 |  -49.52199 |  -2.0 | S0    |     1784 |
  ESO404-012              |     1.35 |  329.279895 |  -34.58215 |   5.1 | Sc    |     2507 |
  NGC7162A                |     1.38 |  330.148221 |  -43.14054 |   8.9 | Sm    |     2095 |
  NGC7177                 |     1.46 | 330.1718745 |   17.73811 |   2.5 | SABb  |     1258 |
  NGC7172                 |     1.44 |  330.507441 |  -31.87015 |   0.6 | Sa    |     2472 |
  NGC7174                 |     1.40 |   330.52776 |  -31.99236 |   2.5 | Sb    |     2530 |
  NGC7185                 |     1.36 | 330.7365435 |  -20.47129 |  -2.8 | E-SO  |     1714 |
  IC5157                  |     1.30 |   330.86244 |  -34.94177 |  -4.7 | E     |     4306 |
  NGC7192                 |     1.38 | 331.7088645 |  -64.31619 |  -4.0 | E     |     2715 |
  UGC11920                |     1.35 | 332.1140415 |   48.44078 |   0.3 | S0-a  |     1326 |
  NGC7221                 |     1.36 | 332.8135785 |  -30.56314 |   3.9 | Sbc   |     4231 |
  ESO288-049              |     1.36 | 332.9523075 |  -45.59041 |   7.9 | SBd   |     1779 |
  IC1438                  |     1.37 |  334.121235 |  -21.43079 |   1.2 | Sa    |     2531 |
  IC5186                  |     1.32 | 334.6939005 |  -36.80186 |   2.8 | Sb    |     4765 |
  NGC7265                 |     1.39 |  335.614458 |   36.20983 |  -2.6 | E-SO  |     5264 |
  NGC7280                 |     1.30 | 336.6147285 |   16.14787 |  -1.3 | S0-a  |     1945 |
  NGC7285                 |     1.43 |  337.155594 |  -24.84175 |   1.1 | SBa   |     4316 |
  UGC12082                |     1.43 |  338.544978 |   32.86120 |   8.8 | SABm  |      968 |
  NGC7309                 |     1.32 | 338.5856745 |  -10.35699 |   5.0 | SABc  |     3969 |
  NGC7318B                |     1.38 |  338.993334 |   33.96603 |   4.1 | SBbc  |     5937 |
  NGC7320                 |     1.41 |  339.014202 |   33.94816 |   6.6 | Scd   |      946 |
  PGC069293               |     1.38 |  339.145857 |   -2.90674 |   8.9 | Sm    |     1691 |
  ESO345-046              |     1.35 | 340.8155535 |  -39.86763 |   7.0 | Scd   |     1976 |
  NGC7371                 |     1.32 |    341.5155 |  -11.00117 |   0.0 | S0-a  |     2640 |
  NGC7421                 |     1.38 |  344.226285 |  -37.34739 |   3.7 | Sbc   |     1633 |
  NGC7417                 |     1.34 |  344.456292 |  -65.03856 |   1.9 | SBab  |     2941 |
  NGC7585                 |     1.41 |   349.50561 |   -4.65034 |  -1.1 | S0-a  |     3432 |
  NGC7619                 |     1.40 | 350.0605005 |    8.20628 |  -4.8 | E     |     3800 |
  NGC7626                 |     1.40 |  350.177166 |    8.21706 |  -4.8 | E     |     3438 |
  NGC7633                 |     1.34 | 350.7635835 |  -67.65375 |  -0.1 | S0-a  |     3485 |
  NGC7637                 |     1.32 | 351.6153615 |  -81.91183 |   5.0 | Sc    |     3433 |
  IC5325                  |     1.46 | 352.1809275 |  -41.33339 |   4.2 | Sbc   |     1315 |
  NGC7714                 |     1.34 | 354.0588285 |    2.15502 |   3.1 | Sb    |     2798 |
  UGC12709                |     1.44 | 354.3497535 |    0.39167 |   8.7 | SABm  |     2673 |
  NGC7722                 |     1.32 |  354.671673 |   15.95466 |  -0.1 | S0-a  |     4075 |
  UGC12732                |     1.44 |  355.165833 |   26.23611 |   8.7 | SABm  |      862 |
  NGC7744                 |     1.40 | 356.2467705 |  -42.90963 |  -2.6 | E-SO  |     2890 |
  UGC12776                |     1.39 |   356.55075 |   33.37036 |   3.0 | SBb   |     5084 |
  NGC7782                 |     1.39 | 358.4748735 |    7.97046 |   3.0 | Sb    |     5409 |
  NGC7796                 |     1.44 |  359.749176 |  -55.45838 |  -4.0 | E     |     3099 |
