# Program   Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC00017.fits 0.0031  UGC00017f   Sm  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC00017.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0010.fits  0.0221  NGC0010f    Sbc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0010.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC00099.fits 0.0060  UGC00099f   Sm  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC00099.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0036.fits  0.0201  NGC0036f    SABb    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0036.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO150-005.fits   0.0040  ESO150-005f SABd    /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO150-005.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0173.fits  0.0145  NGC0173f    Sc  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0173.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0171.fits  0.0125  NGC0171f    Sab /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0171.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0180.fits  0.0176  NGC0180f    Sc  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0180.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0193.fits  0.0146  NGC0193f    E-SO    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0193.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0238.fits  0.0279  NGC0238f    SBb /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0238.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0254.fits  0.0048  NGC0254f    S0-a    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0254.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0255.fits  0.0050  NGC0255f    Sbc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0255.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0266.fits  0.0160  NGC0266f    Sab /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0266.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0278.fits  0.0027  NGC0278f    SABb    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0278.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0309.fits  0.0186  NGC0309f    SABc    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0309.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0315.fits  0.0170  NGC0315f    E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0315.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0337.fits  0.0052  NGC0337f    SBcd    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0337.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0337A.fits 0.0033  NGC0337Af   SABd    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0337A.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0357.fits  0.0078  NGC0357f    S0-a    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0357.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC00655.fits 0.0033  UGC00655f   Sm  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC00655.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0383.fits  0.0172  NGC0383f    E-SO    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0383.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_IC1633.fits   0.0234  IC1633f E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_IC1633.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0428.fits  0.0037  NGC0428f    SABm    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0428.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0450.fits  0.0057  NGC0450f    SABc    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0450.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0447.fits  0.0190  NGC0447f    S0-a    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0447.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_IC0089.fits   0.0181  IC0089f S0  /home/ec2-user/galaxies/POGSSNR_SDSSonly_IC0089.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0470.fits  0.0078  NGC0470f    Sb  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0470.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0474.fits  0.0078  NGC0474f    S0  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0474.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0521.fits  0.0166  NGC0521f    Sbc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0521.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0529.fits  0.0164  NGC0529f    E-SO    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0529.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO013-016.fits   0.0049  ESO013-016f SBd /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO013-016.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0596.fits  0.0061  NGC0596f    E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0596.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0600.fits  0.0059  NGC0600f    Scd /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0600.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0636.fits  0.0059  NGC0636f    E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0636.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_PGC006667.fits    0.0063  PGC006667f  Scd /home/ec2-user/galaxies/POGSSNR_SDSSonly_PGC006667.fits 0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0681.fits  0.0055  NGC0681f    SABa    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0681.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0691.fits  0.0091  NGC0691f    Sbc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0691.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO245-007.fits   0.0000  ESO245-007f Sm  /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO245-007.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0718.fits  0.0056  NGC0718f    Sa  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0718.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_IC0171.fits   0.0183  IC0171f S0-a    /home/ec2-user/galaxies/POGSSNR_SDSSonly_IC0171.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0749.fits  0.0139  NGC0749f    S0-a    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0749.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0741.fits  0.0184  NGC0741f    E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0741.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0782.fits  0.0194  NGC0782f    SBb /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0782.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0765.fits  0.0173  NGC0765f    SABb    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0765.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC01547.fits 0.0090  UGC01547f   I   /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC01547.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC01551.fits 0.0091  UGC01551f   SBc /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC01551.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0821.fits  0.0058  NGC0821f    E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0821.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0828.fits  0.0183  NGC0828f    Sa  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0828.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0881.fits  0.0172  NGC0881f    SABc    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0881.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0897.fits  0.0152  NGC0897f    Sa  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0897.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC01865.fits 0.0023  UGC01865f   SABm    /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC01865.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0922.fits  0.0097  NGC0922f    SBc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0922.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0930.fits  0.0137  NGC0930f    Sa  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0930.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_IC0227.fits   0.0346  IC0227f E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_IC0227.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0947.fits  0.0160  NGC0947f    SABc    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0947.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC0945.fits  0.0146  NGC0945f    SBc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC0945.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_IC1812.fits   0.0167  IC1812f E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_IC1812.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO246-021.fits   0.0177  ESO246-021f SBb /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO246-021.fits    0   2
