#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7215.fits  0.0134  NGC7215a    S0  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1072442.fits   0.0241  PGC1072442a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1254476.fits   0.0500  PGC1254476a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1094054.fits   0.0532  PGC1094054a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1204485.fits   0.0500  PGC1204485a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068149.fits    0.0129  PGC068149a  Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1236665.fits   0.0500  PGC1236665a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068167.fits    0.0337  PGC068167a  Sbc 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1086643.fits   0.0500  PGC1086643a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1088268.fits   0.0098  PGC1088268a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1083917.fits   0.0554  PGC1083917a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1197963.fits   0.0500  PGC1197963a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1179165.fits   0.0894  PGC1179165a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068206.fits    0.0455  PGC068206a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1091774.fits   0.0490  PGC1091774a E?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7222.fits  0.0413  NGC7222a    SBab    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1220485.fits   0.0500  PGC1220485a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068229.fits    0.0500  PGC068229a  Sa  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1203369.fits   0.0500  PGC1203369a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1128634.fits   0.0342  PGC1128634a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1153158.fits   0.0524  PGC1153158a S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068240.fits    0.0258  PGC068240a  S0-a    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1228547.fits   0.0500  PGC1228547a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1225072.fits   0.0332  PGC1225072a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1139795.fits   0.0468  PGC1139795a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068251.fits    0.0330  PGC068251a  Sa  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1191673.fits   0.0500  PGC1191673a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068258.fits    0.0333  PGC068258a  SBbc    0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068264.fits    0.0163  PGC068264a  S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1150961.fits   0.0584  PGC1150961a Unk 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1127166.fits   0.0561  PGC1127166a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1134507.fits   0.0339  PGC1134507a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_2MASXJ22131883+0032262.fits   0.0874  2MASXJ22131883+0032262a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1109092.fits   0.0500  PGC1109092a Sab 0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1211625.fits   0.0500  PGC1211625a S?  0.1 0   1
   ./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1073911.fits   0.0500  PGC1073911a S?  0.1 0   1
