#   Program Filename    Redshift    Galaxy  Type    Sigma   Priority
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC2968.fits   0.0055  NGC2968a  Sa     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3020.fits   0.0049  NGC3020a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3049.fits   0.0050  NGC3049a  SBb    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3158.fits   0.0236  NGC3158a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3162.fits   0.0046  NGC3162a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3193.fits   0.0049  NGC3193a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3277.fits   0.0051  NGC3277a  Sab    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3346.fits   0.0044  NGC3346a  SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3367.fits   0.0103  NGC3367a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3370.fits   0.0045  NGC3370a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3381.fits   0.0059  NGC3381a  SBb    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3433.fits   0.0092  NGC3433a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3455.fits   0.0039  NGC3455a  SABb   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3464.fits   0.0121  NGC3464a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3485.fits   0.0050  NGC3485a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3504.fits   0.0056  NGC3504a  Sab    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3507.fits   0.0035  NGC3507a  SBb    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3583.fits   0.0075  NGC3583a  SBb    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3599.fits   0.0031  NGC3599a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3610.fits   0.0066  NGC3610a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3614.fits   0.0085  NGC3614a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3626.fits   0.0052  NGC3626a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3637.fits   0.0059  NGC3637a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3660.fits   0.0121  NGC3660a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3672.fits   0.0061  NGC3672a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3682.fits   0.0060  NGC3682a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3683A.fits  0.0088  NGC3683Aa     SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3684.fits   0.0042  NGC3684a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3686.fits   0.0042  NGC3686a  SBbc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3690.fits   0.0113  NGC3690a  SBm    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3729.fits   0.0042  NGC3729a  Sa     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3780.fits   0.0088  NGC3780a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3794.fits   0.0054  NGC3794a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3795A.fits  0.0047  NGC3795Aa     Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3811.fits   0.0112  NGC3811a  SBc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3813.fits   0.0055  NGC3813a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3893.fits   0.0040  NGC3893a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3930.fits   0.0037  NGC3930a  SABc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3949.fits   0.0034  NGC3949a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3963.fits   0.0114  NGC3963a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC3998.fits   0.0043  NGC3998a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4037.fits   0.0034  NGC4037a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4041.fits   0.0049  NGC4041a  Sbc    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4045.fits   0.0067  NGC4045a  SABa   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4073.fits   0.0198  NGC4073a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4102.fits   0.0036  NGC4102a  SABb   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4136.fits   0.0026  NGC4136a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4168.fits   0.0079  NGC4168a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4189.fits   0.0073  NGC4189a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4212.fits   0.0000  NGC4212a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4245.fits   0.0034  NGC4245a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4273.fits   0.0081  NGC4273a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4278.fits   0.0026  NGC4278a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4290.fits   0.0110  NGC4290a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4298.fits   0.0041  NGC4298a  Sc     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4339.fits   0.0045  NGC4339a  E      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4340.fits   0.0035  NGC4340a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4378.fits   0.0087  NGC4378a  Sa     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4389.fits   0.0031  NGC4389a  SBbc   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4393.fits   0.0030  NGC4393a  Scd    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4413.fits   0.0006  NGC4413a  Sab    0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4421.fits   0.0055  NGC4421a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4430.fits   0.0050  NGC4430a  Sb     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4454.fits   0.0078  NGC4454a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4457.fits   0.0031  NGC4457a  S0-a   0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4474.fits   0.0053  NGC4474a  S0     0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4485.fits   0.0023  NGC4485a  I      0.05    0
    ./register_fits_file.py /home/ec2-user/galaxies/POGS_NGC4492.fits   0.0061  NGC4492a  Sa     0.05    0
