# Program   Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC12889.fits 0.0174  UGC12889    Sb  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC12889.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO012-012.fits   0.0254  ESO012-012  SABb    /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO012-012.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_PGC000026.fits    0.0000  PGC000026   Unk /home/ec2-user/galaxies/POGSSNR_SDSSonly_PGC000026.fits 0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC12893.fits 0.0039  UGC12893    Sd  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC12893.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO293-029.fits   0.0483  ESO293-029  SBc /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO293-029.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO349-017.fits   0.0225  ESO349-017  Sc  /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO349-017.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC7802.fits  0.0178  NGC7802 S0  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC7802.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO241-010.fits   0.0379  ESO241-010  E   /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO241-010.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO149-011A.fits  0.0306  ESO149-011A S0-a    /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO149-011A.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC12904.fits 0.0429  UGC12904    SBab    /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC12904.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC7806.fits  0.0164  NGC7806 SABb    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC7806.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC12914.fits 0.0149  UGC12914    SBc /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC12914.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO409-003.fits   0.0278  ESO409-003  Sab /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO409-003.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_PGC000160.fits    0.0384  PGC000160   E-SO    /home/ec2-user/galaxies/POGSSNR_SDSSonly_PGC000160.fits 0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_PGC000176.fits    0.0214  PGC000176   Sbc /home/ec2-user/galaxies/POGSSNR_SDSSonly_PGC000176.fits 0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC7812.fits  0.0221  NGC7812 SABb    /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC7812.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_PGC000211.fits    0.0318  PGC000211   E-SO    /home/ec2-user/galaxies/POGSSNR_SDSSonly_PGC000211.fits 0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_ESO349-022.fits   0.0492  ESO349-022  S0  /home/ec2-user/galaxies/POGSSNR_SDSSonly_ESO349-022.fits    0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC00009.fits 0.0986  UGC00009    S?  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC00009.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC7808.fits  0.0295  NGC7808 S0  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC7808.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_UGC00014.fits 0.0245  UGC00014    Sc  /home/ec2-user/galaxies/POGSSNR_SDSSonly_UGC00014.fits  0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC7816.fits  0.0175  NGC7816 Sbc /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC7816.fits   0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_PGC000290.fits    0.0318  PGC000290   E-SO    /home/ec2-user/galaxies/POGSSNR_SDSSonly_PGC000290.fits 0   2
./register_fits_file.py /home/ec2-user/galaxies/POGS_SDSSonly_NGC7819.fits  0.0170  NGC7819 Sb  /home/ec2-user/galaxies/POGSSNR_SDSSonly_NGC7819.fits   0   2
