                  objname |  al2000*15. |     de2000 |     vvir |     6.*10^logd25 |   incl |  type |
  UGC00112                |   3.0365895 |   41.75338 |     5186 | 99.1177203000303 |   22.2 | Sm    |
  NGC0039                 |   3.0786465 |   31.06096 |     4982 |  65.788685989933 |   26.5 | Sc    |
  UGC00117                |   3.2271255 |   33.36142 |     4891 | 71.3101414757757 |   54.4 | SABc  |
  NGC0043                 |    3.253041 |   30.91531 |     4922 | 83.2053420584105 |   33.5 | S0    |
  IC0004                  |    3.362292 |   17.48642 |     5066 | 70.1699568354359 |   45.6 | Sc    |
  UGC00128                |    3.462141 |   35.99427 |     4680 | 114.064708317319 |   31.8 | Sd    |
  ESO050-006              |    3.495792 |  -70.02267 |     3913 | 95.3127994740945 |   43.1 | SBc   |
  NGC0047                 |   3.6279135 |   -7.16692 |     5641 | 80.7516116678723 |   37.3 | SBbc  |
  NGC0053                 |    3.678426 |  -60.32845 |     4304 | 92.5020194581591 |   54.5 | SBb   |
  ESO410-005              |   3.8801835 |  -32.18061 |     -135 | 77.8307625827011 |   51.8 | S0-a  |
  ESO350-004              |   3.9333375 |  -33.03062 |     7221 |  61.823168855599 |   37.4 | S0-a  |
  NGC0060                 |    3.992661 |   -0.30361 |    11784 | 61.9656926460431 |   51.6 | Sc    |
  NGC0061B                |    4.100388 |   -6.31690 |     8078 | 80.3805964798114 |   45.4 | S0    |
  NGC0061A                |   4.1012745 |   -6.32196 |     7856 | 88.5423980239359 |   46.2 | S0    |
  UGC00160                |    4.265502 |   34.49950 |     4811 | 76.9398420554059 |   12.2 | Sd    |
  ESO539-005              |   4.2926025 |  -19.30145 |     3085 | 95.7527376901586 |   52.8 | Sc    |
  UGC00159                |    4.317102 |   17.52251 |     1066 | 62.5390467249118 |    0.0 | I     |
  NGC0064                 |    4.376595 |   -6.82467 |     7252 | 82.8230531480857 |   51.4 | SBbc  |
  PGC001150               |    4.382166 |  -24.22336 |    18980 |  61.823168855599 |   47.4 | E-SO  |
  ESO194-001              |    4.477917 |  -47.92800 |    11223 | 61.5391208453397 |   55.4 | SABc  |
  ESO350-007              |   4.5191745 |  -33.87463 |     7233 | 90.6048134280211 |   36.5 | SBa   |
  NGC0068                 |   4.5771255 |   30.07181 |     5857 | 77.2949756475874 |   26.1 | E-SO  |
