# Program   Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1088268.fits    0.0098  PGC1088268c S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1088268.fits   0.0098  PGC1088268d S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1068443.fits    0.0102  PGC1068443c S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1068443.fits   0.0102  PGC1068443d S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC068149.fits 0.0129  PGC068149c  Unk 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068149.fits    0.0129  PGC068149d  Unk 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_UGC11876.fits  0.0134  UGC11876c   Sc  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_UGC11876.fits 0.0134  UGC11876d   Sc  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_NGC7215.fits   0.0134  NGC7215c    S0  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7215.fits  0.0134  NGC7215d    S0  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_SDSSJ220458.71-002752.1.fits   0.0158  SDSSJ220458.71-002752.1c    Unk 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_SDSSJ220458.71-002752.1.fits  0.0158  SDSSJ220458.71-002752.1d    Unk 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_SDSSJ222516.58-005435.9.fits   0.0159  SDSSJ222516.58-005435.9c    Unk 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_SDSSJ222516.58-005435.9.fits  0.0159  SDSSJ222516.58-005435.9d    Unk 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_NGC7198.fits   0.0160  NGC7198c    S0  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_NGC7198.fits  0.0160  NGC7198d    S0  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC068877.fits 0.0162  PGC068877c  Sbc 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068877.fits    0.0162  PGC068877d  Sbc 0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC068264.fits 0.0163  PGC068264c  S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC068264.fits    0.0163  PGC068264d  S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_PGC1131621.fits    0.0163  PGC1131621c S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1SDSSu_PGC1131621.fits   0.0163  PGC1131621d S?  0.1 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_UGC11982.fits  0.0164  UGC11982c   SBc 0.1 0   1
