                  objname |  al2000*15. |     de2000 |     vvir |    6.*10.^logd25 |   incl |  type |
  PGC1072419              | 336.1096605 |   -3.35487 |       -  | 32.2219091973474 |   65.4 |       |
  PGC095711               | 336.1248765 |   -1.55501 |    27228 | 35.3306177696737 |   51.6 | S?    |
  PGC1100060              | 336.2037345 |   -2.16052 |       -  | 36.1535727827548 |   70.1 |       |
  PGC1106727              |  336.207234 |   -1.90898 |    17218 | 33.7404795114209 |   57.3 | S0-a  |
  PGC1076380              |  336.238038 |   -3.10733 |       -  |  30.771681519111 |   55.0 | S?    |
  PGC1246259              |  336.279285 |    3.15000 |       -  | 34.5263954820587 |   39.6 | S?    |
  PGC1101543              |  336.279747 |   -2.10805 |    12302 | 45.5146540020192 |   90.0 | E?    |
  PGC1088988              | 336.3004245 |   -2.54714 |    16682 | 33.7404795114209 |   90.0 | S?    |
  SDSSJ222516.58-005435.9 |  336.319056 |   -0.90988 |     4775 | 33.6628795598799 |   69.7 |       |
  PGC1131621              |  336.321243 |   -0.90918 |     4887 | 32.9724531555049 |   75.3 | S?    |
  PGC1067527              |   336.34995 |   -3.73430 |       -  | 54.7206476577104 |   84.8 |       |
  PGC1247588              |  336.357735 |    3.21690 |       -  | 31.4884496893663 |   50.9 |       |
  PGC096867               |  336.361506 |   -2.78396 |       -  | 32.2219091973474 |   24.6 |       |
  PGC1156950              |  336.366618 |    0.09488 |    17398 | 35.8221190829271 |   90.0 | E?    |
  PGC096875               | 336.4243965 |   -2.79357 |    16316 | 31.4884496893663 |   73.1 | S0-a  |
  PGC068840               | 336.4299945 |    3.23227 |    10386 | 38.7392539547497 |   56.2 | S?    |
  PGC1100345              | 336.4704345 |   -2.15110 |    17163 | 36.9957019395768 |   80.5 | S?    |
  PGC1106821              | 336.4732245 |   -1.90578 |    16921 | 55.9952617366465 |   90.0 | E?    |
  PGC1252639              |    336.4959 |    3.45990 |       -  | 45.5146540020192 |   65.8 | S?    |
  PGC1098021              |  336.498744 |   -2.23031 |    17008 | 38.7392539547497 |   49.7 | S?    |
  PGC1093467              | 336.5027085 |   -2.38967 |       -  |  30.771681519111 |   75.0 | S?    |
  PGC1098097              |  336.503295 |   -2.22702 |    16881 | 38.7392539547497 |   90.0 | S?    |
  PGC1169469              | 336.5106435 |    0.56968 |    20372 | 35.6575286164735 |   75.5 | S?    |
  PGC068855               |  336.514134 |    1.20467 |    17301 | 37.8574417079587 |   45.2 | S?    |
  PGC1064891              | 336.5297085 |   -3.94939 |       -  | 38.7392539547497 |   79.1 | S?    |
  PGC1106313              | 336.5385285 |   -1.92473 |    16694 | 41.5098557484515 |   51.5 | S?    |
  PGC1113641              |  336.540834 |   -1.65252 |       -  | 34.5263954820587 |   53.0 | S?    |
  PGC1138323              |  336.553092 |   -0.63942 |    14914 | 35.9046965314781 |   70.1 | Sab   |
  PGC068864               | 336.5610165 |    0.66785 |    10920 |  49.562276484875 |   55.3 | S?    |
  PGC1069185              |  336.563928 |   -3.59952 |       -  | 30.0712331922124 |   69.4 |       |
  PGC068869               | 336.6133335 |    3.47261 |    10303 | 46.5748254636052 |   49.5 | E     |
  PGC1238888              |  336.632535 |    2.84240 |       -  | 31.4884496893663 |   53.9 | S?    |
  PGC068877               | 336.6482625 |   -3.69888 |     4847 | 63.5552200215887 |   79.8 | Sbc   |
  PGC1255641              |     336.657 |    3.61930 |       -  |  30.771681519111 |   55.6 | S?    |
  PGC1243713              | 336.6575415 |    3.03831 |       -  | 30.0712331922124 |   42.4 | S?    |
  PGC1088324              |  336.718899 |   -2.57311 |    16293 | 39.6416062275834 |   71.3 | S?    |
  PGC1174593              | 336.7678725 |    0.75489 |    17390 | 35.0874066281735 |   61.2 | S0-a  |
  PGC1136234              | 336.7849155 |   -0.72730 |    17053 | 47.9900549842753 |   69.2 | Sab   |
  PGC1211336              | 336.8098335 |    1.95419 |       -  | 30.0712331922124 |   69.4 | S?    |
  SDSSJ222720.56-004045.0 | 336.8356515 |   -0.67915 |    17063 | 34.3677631421181 |   55.6 |       |
  PGC068901               |  336.836568 |   -1.36748 |    12209 | 35.3306177696737 |   30.4 | S?    |
  PGC1137407              |  336.837837 |   -0.67805 |    17066 |  39.732988389849 |   63.9 | Sab   |
  PGC1125254              | 336.8411685 |   -1.16164 |    18029 | 36.8257192586271 |   60.6 | Sab   |
  PGC1114408              |  336.852417 |   -1.62033 |       -  | 34.1311754758845 |   72.5 | S?    |
  PGC1094837              |  336.876777 |   -2.33907 |    16208 | 38.5612655370017 |   57.8 | S0-a  |
  PGC1081347              |  336.878166 |   -2.85450 |       -  | 32.2219091973474 |   65.0 | S?    |
  PGC1074056              |  336.929952 |   -3.24667 |       -  | 33.7404795114209 |   85.7 | S?    |
  PGC1115538              |  337.017117 |   -1.57250 |    23587 | 31.4884496893663 |   46.4 | S?    |
  PGC1071957              |  337.021542 |   -3.38814 |       -  | 31.4884496893663 |   67.4 | S?    |
