# Program   Filename    Redshift    Galaxy  Type    Sigma   Priority    Run_Id
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_2MASXJ02195690-27133.fits  0.0580  2MASXJ02195690-27133    's' /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ02195690-27133.fits   0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_2MASXJ02312620-23002.fits  0.0570  2MASXJ02312620-23002    's' /home/ec2-user/galaxies/POGSSNR_PS1only_2MASXJ02312620-23002.fits   0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_2MFGC02045.fits    0.0000  2MFGC02045  's' /home/ec2-user/galaxies/POGSSNR_PS1only_2MFGC02045.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_CGCG539-024.fits   0.0190  CGCG539-024 's' /home/ec2-user/galaxies/POGSSNR_PS1only_CGCG539-024.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_DDO023.fits    0.0070  DDO023  'i' /home/ec2-user/galaxies/POGSSNR_PS1only_DDO023.fits 0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO414-G025.fits   0.0170  ESO414-G025 's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO414-G025.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO414-G027.fits   0.0160  ESO414-G027 's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO414-G027.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO414-G028.fits   0.0160  ESO414-G028 's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO414-G028.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO414-G032.fits   0.0180  ESO414-G032 's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO414-G032.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO414-G032.fits   0.0180  ESO414-G032 's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO414-G032.fits    0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO414-IG030.fits  0.0180  ESO414-IG030    's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO414-IG030.fits   0   1
./register_fits_file.py /home/ec2-user/galaxies/POGS_PS1only_ESO415-G001.fits   0.0380  ESO415-G001 's' /home/ec2-user/galaxies/POGSSNR_PS1only_ESO415-G001.fits    0   1
